Site,coresec,interval,depth,age,1302,1300,1298,1296,1292,1292',1050-1,1050-2,H-1048,H-1048b-1,H-1048b-2,1036-1,1036-2,1034-1,1034-2,H-1034a,H-1034b,H-1034c,H-1034tot,1032-1,1032-2,1022,1020,H-1020p,H-1020a,H-1020b,H-1020c,H-1020tot,1018,1050-tot,1036-tot,1034-tot,1032-tot,,,
1172D,2R-1W,110-113,351.96,26.8070,1.67E+05,2.49E+04,1.81E+04,6.00E+03,1.69E+05,9.60E+03,1.46E+04,1.21E+04,2.94E+03,1.00E+03,1.24E+04,9.23E+03,1.10E+04,1.18E+03,6.63E+03,0.00E+00,1.00E+03,2.14E+04,2.24E+04,1.60E+03,6.59E+03,6.77E+04,4.09E+03,7.29E+02,1.05E+04,9.40E+03,3.98E+04,5.98E+04,4.37E+03,2.67E+04,2.02E+04,7.81E+03,8.19E+03,,,
1172D,2R-2W,60-63,354.181,27.9395,5.62E+05,3.76E+04,3.03E+04,7.34E+03,2.01E+05,1.82E+04,0.00E+00,0.00E+00,3.97E+03,2.10E+03,1.77E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+03,2.90E+04,3.00E+04,0.00E+00,0.00E+00,5.04E+05,6.89E+03,2.12E+04,3.16E+05,2.12E+05,1.97E+05,7.24E+05,2.24E+04,4.34E+04,8.21E+05,0.00E+00,0.00E+00,,,
1172D,2R-3W,10.5-13.5,355.18,28.4490,5.03E+06,6.45E+05,4.50E+05,8.73E+04,4.99E+06,3.00E+05,2.18E+05,2.36E+05,7.03E+03,3.92E+03,1.97E+04,1.42E+05,1.05E+05,3.20E+04,1.32E+05,2.09E+03,1.01E+04,4.10E+04,5.32E+04,6.50E+03,6.63E+04,1.04E+06,5.37E+04,1.00E+04,3.53E+05,2.83E+05,4.14E+04,6.77E+05,8.28E+04,4.54E+05,2.47E+05,1.64E+05,7.28E+04,,,
1172D,2R-3W,60-63,355.645,28.6861,4.64E+06,5.44E+05,3.59E+05,7.37E+04,4.30E+06,2.60E+05,2.18E+05,2.77E+05,1.09E+04,6.91E+03,3.69E+04,1.51E+05,1.17E+05,8.02E+04,1.22E+04,7.65E+03,5.93E+04,1.33E+04,8.03E+04,5.85E+03,8.52E+04,1.13E+06,6.02E+04,1.11E+04,3.61E+05,3.11E+05,4.49E+04,7.17E+05,8.94E+04,4.95E+05,2.68E+05,9.24E+04,9.10E+04,,,
1172D,2R-3W,110-113,355.96,28.8467,2.29E+06,7.16E+04,3.61E+04,3.60E+04,1.95E+05,1.37E+04,0.00E+00,0.00E+00,1.83E+04,2.49E+04,6.08E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.21E+03,4.88E+04,2.29E+03,5.63E+04,0.00E+00,0.00E+00,1.74E+05,4.94E+03,9.05E+03,3.48E+04,2.18E+04,5.10E+04,1.08E+05,5.02E+03,5.74E+05,4.05E+05,0.00E+00,0.00E+00,,,
1172D,2R-4W,11-14,356.655,29.2011,2.58E+06,1.91E+05,1.48E+05,9.71E+03,2.04E+05,1.48E+04,0.00E+00,0.00E+00,9.77E+03,5.23E+03,3.00E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.78E+03,2.72E+04,0.00E+00,3.00E+04,0.00E+00,0.00E+00,8.19E+04,4.35E+03,2.29E+03,1.27E+04,1.25E+04,1.38E+04,3.89E+04,4.91E+03,2.97E+06,1.87E+06,0.00E+00,0.00E+00,,,
1172D,2R-4W,34,356.885,29.3184,1.34E+06,1.12E+05,1.17E+05,5.04E+03,7.62E+04,7.11E+03,0.00E+00,0.00E+00,1.00E+03,3.03E+03,5.00E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.95E+03,0.00E+00,9.95E+03,0.00E+00,0.00E+00,4.77E+05,3.59E+03,5.94E+03,1.01E+05,9.97E+04,1.10E+05,3.11E+05,4.24E+03,2.33E+05,2.26E+05,0.00E+00,0.00E+00,,,
1172D,2R-4W,85.5-88.5,356.935,29.3439,1.51E+06,7.13E+04,1.01E+05,4.35E+03,6.93E+04,3.79E+03,0.00E+00,0.00E+00,2.60E+03,3.81E+03,9.73E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+03,2.17E+04,0.00E+00,2.27E+04,0.00E+00,0.00E+00,4.67E+05,8.88E+03,2.14E+04,2.20E+04,3.78E+04,1.89E+05,2.49E+05,1.23E+04,7.22E+05,1.02E+05,0.00E+00,0.00E+00,,,
1172D,2R-4W,63-66,357.175,29.4663,4.74E+05,4.18E+04,3.34E+04,8.63E+03,2.43E+05,1.32E+04,2.04E+04,1.83E+04,1.28E+04,2.38E+04,2.71E+04,2.20E+04,9.20E+03,6.90E+03,1.03E+04,5.13E+03,5.43E+04,2.02E+03,6.15E+04,5.31E+02,2.38E+03,1.17E+05,1.25E+04,2.27E+03,2.63E+04,2.88E+04,7.64E+04,1.32E+05,1.30E+04,3.87E+04,3.12E+04,1.72E+04,2.91E+03,,,
1172D,2R-4W,134.5-137.5,357.89,29.7297,1.04E+06,3.74E+04,1.51E+04,3.76E+03,7.04E+04,5.27E+03,0.00E+00,0.00E+00,4.89E+03,8.81E+03,2.18E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.56E+03,5.40E+04,0.00E+00,5.65E+04,0.00E+00,0.00E+00,2.58E+05,3.62E+03,6.83E+03,8.43E+03,9.77E+04,8.21E+05,9.27E+05,6.23E+03,3.68E+05,8.26E+04,0.00E+00,0.00E+00,,,
