ODP,Core_section,interval,depth (mbsf),age,uk37mul,BAYSPLmin,BAYSPL,BAYSPLmax,,
1172A,42X-6W,10-12 cm,391.00,38.968,23.9,20.42641351,23.24420334,26.72847762,,
1172A,43X-2X,42-44 cm,394.92,39.121,24.0,20.52288894,23.32013412,26.80276665,,
1172A,43X-5W,37-39 cm,402.37,39.412,24.6,21.17933528,24.09480353,28.1164663,,
1172A,44X-2W,10-12 cm,404.20,39.484,24.7,21.28733615,24.20211371,28.30787194,,
1172A,44X-3W,102-104 cm,406.62,39.578,25.3,21.89293293,24.91793203,29.5314779,,
1172A,44X-4W,62-64 cm,407.72,39.621,26.6,23.29921552,26.78538185,32.5125941,,
1172A,44X-5W,10-12 cm,408.70,39.659,27.1,23.8252909,27.49759402,33.43099382,,
1172A,44X-7W,10-12 cm,411.70,39.777,26.1,22.75555519,26.02938658,31.39722922,,
1172A,45X-1W,32-34 cm,412.52,39.809,26.6,23.37401598,26.7932755,32.53582246,,
1172A,45X-1W,102-104 cm,413.22,39.836,27.4,24.21004978,28.02651616,34.17469664,,
1172A,45X-2W,32-34 cm,414.12,39.871,27.9,24.7731369,28.85345677,34.99244157,,
1172A,45X-2W,98-100 cm,414.68,39.893,28.4,25.3400904,29.6143394,35.96590866,,
1172A,45X-3W,22-24 cm,415.52,39.926,28.1,25.02707384,29.19333251,35.4621587,,
1172A,45X-3W,102-104,416.22,39.953,27.8,24.66463028,28.69258371,34.90388315,,
1172A,45X-4W,10-12 cm,416.80,39.976,26.9,23.6561936,27.24982037,33.17901293,,
1172A,45X-4W,102-104 cm,417.72,40.012,27.7,24.48502592,28.42081054,34.5398985,,
1172A,45X-5W,10-12 cm,418.30,40.034,26.8,23.5169977,26.99525625,32.71737567,,
1172A,45X-5W,92-94 cm,419.12,40.067,26.1,22.792244,26.06723945,31.47822945,,
1172A,45X-6W,32-34 cm,420.02,40.102,25.6,22.19579293,25.2804339,30.17349348,,
1172A,45X-6W,122-124 cm,420.92,40.137,25.7,22.36403202,25.49741121,30.58493233,,
1172A,45X-7W,42-44 cm,421.62,40.210,25.7,22.30109711,25.36998955,30.43437819,,
1172A,46X-1W,10-12 cm,421.90,40.241,27.6,24.39045172,28.25055959,34.33831417,,
1172A,46X-1W,112-114 cm,422.92,40.355,25.4,22.04253585,25.08422997,29.85592895,,
1172A,46X-2W,10-12 cm,423.40,40.409,27.1,23.90864719,27.63902565,33.48699065,,
1172A,46X-2W,92-94 cm,424.22,40.501,26.6,23.33463795,26.70784316,32.31973808,,
1172A,46X-3W,10-12 cm,424.90,40.578,26.5,23.27758017,26.66037257,32.35793112,,
1172A,46X-3W,82-84 cm,425.62,40.658,25.7,22.38826711,25.48521644,30.54112763,,
1172A,46X-4W,10-12 cm,426.40,40.746,27.3,24.03913019,27.82731636,33.78783743,,
1172A,46X-4W,92-94 cm,427.22,40.838,28.0,24.79369915,28.88133555,35.1092188,,
1172A,46X-5W,10-12 cm,427.90,40.914,26.9,23.73741201,27.28375908,33.16562797,,
1172A,46X-5W,114-116 cm,428.96,41.033,26.3,23.03608091,26.36012435,31.97527406,,
1172A,46X-7W,10-12 cm,430.90,41.258,27.0,23.8014335,27.41853644,33.29573052,,
1172A,47X-2W,10-12 cm,433.00,41.466,27.1,23.85190104,27.55617714,33.50378454,,
1172A,47X-5W,10-12 cm,437.50,41.807,27.9,24.77498701,28.75014768,34.924897,,
