Site,coresec,interval,depth,age,1302,1300,1298,1296,1292,1292',1050-1,1050-2,H-1048,H-1048b-1,H-1048b-2,1036-1,1036-2,1034-1,1034-2,H-1034a,H-1034b,H-1034c,H-1034tot,1032-1,1032-2,1022,1020,H-1020p,H-1020a,H-1020b,H-1020c,H-1020tot,1018,1050-tot,1036-tot,1034-tot,1032-tot,SUM.ISO,SUM.BR,SUM.Hbr,SUM.ALL,F1302.ALL,F1300.ALL,F1298.ALL,F1296.ALL,F1292.ALL,F1292'.ALL,F1050-tot.ALL,F1036-tot.ALL,F1034-tot.ALL,F1032-tot.ALL,F1022.ALL,F1020.ALL,F1018.ALL,FH-1048.ALL,FH-1034tot.ALL,FH-1020a.ALL,FH-1020b.ALL,FH-1020c.ALL,F1302.ISO,F1300.ISO,F1298.ISO,F1296.ISO,F1292.ISO,F1292'.ISO,FR.TETR,FR.PEN,FR.HEX,TEX86,GDGT2/GDGT3,GDGT2/cren,GDGT0/cren,Methzhang,fcren,RING,RITEX,CAPRI,SSTEXP,SSTLIN,BIT,NoRINGS,NoRINGStetra,NoRINGSpenta,NoRINGSpenta5,NoRINGSpenta6,IRpenta,IRhexa,IR,MBT5ME,CBT',pH,MAT5ME,CBTpeat,MAATPEAT,PHPEAT,dT,FH1048.Hbr,FH1034a.Hbr,FH1034b.Hbr,FH1034c.Hbr,FH1034tot.Hbr,FH1020a.Hbr,FH1020b.Hbr,FH1020c.Hbr,FHbr.BR,FHbr.BR.N,HMBT.ALL,HMBT,brGMGTI,outlierBIT,outlierfcren,outlierGDGT2/3,outlierGDGT2/cren,outlierGDGT0/cren,outlierMethzhang,outlierCAPRI,OUTLIERTEX,outlierIR,outlierNoRINGS,OUTLIERMBT
1172D,2R-1W,110-113,351.96,26.807,167000,24900,18100,6000,169000,9600,14600,12100,2940,1000,12400,9230,11000,1180,6630,0,1000,21400,22400,1600,6590,67700,4090,729,10500,9400,39800,59800,4370,26700,20200,7810,8190,394600,139060,85040,618700,0.2699208016809439,0.040245676418296426,0.029254889283982545,0.009697753353806368,0.2731533861322127,0.01551640536609019,0.043155002424438337,0.03264910295781477,0.012623242282204622,0.013237433327945693,0.10942298367544852,0.006610635202844674,0.007063197026022305,0.0047518991433651205,0.03620494585421044,0.016971068369161145,0.01519314692096331,0.06432843058024891,0.4232133806386214,0.06310187531677648,0.04586923466801825,0.015205271160669031,0.4282818043588444,0.024328433857070453,0.5476772616136919,0.26031928663886095,0.19200345174744715,0.5750853242320819,3.0166666666666666,0.10710059171597633,0.9881656804733728,0.21528998242530756,0.05375139977603583,2.0108971109984797,2.245185092429731,0.2342879814312515,22.16568828396216,22.635017064846416,0.40409026798307474,0.32947668209327163,0.16846113445378152,0.668232044198895,0.3646960865945046,0.8179190751445087,0.669060773480663,0.45318352059925093,0.5774244833068363,0.7410722973630437,0.4445536982410139,7.856840380203212,14.736723752067725,-0.4174954180117938,15.619152476403617,7.030436409150633,7.898293312778691,0.034571966133584195,0,0.011759172154280339,0.2516462841015992,0.2634054562558796,0.12347130761994356,0.11053621825023519,0.46801505174035746,0.37947344935296745,0.32335329341317365,0.7020225776105362,0.9099222679469593,0.8322001631765027,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
1172D,2R-2W,60-63,354.181,27.9395,562000,37600,30300,7340,201000,18200,0,0,3970,2100,17700,0,0,0,0,0,1000,29000,30000,0,0,504000,6890,21200,316000,212000,197000,724000,22400,43400,821000,0,0,856440,1397690,758970,3013100,0.18651886761143008,0.012478842388238027,0.010056088413925857,0.0024360293385549767,0.06670870532010222,0.006040290730476917,0.014403770203444957,0.2724768510836016,0,0,0.1672695894593608,0.0022866814908234045,0.00743420397597159,0.0013175799010985364,0.009956523182104809,0.10487537751817065,0.07035943048687399,0.06538116889582157,0.6562047545654103,0.043902666853486524,0.03537901078884685,0.008570361029377423,0.23469244780720191,0.021250758955676987,0.38155098770113544,0.5873977777618785,0.031051234536986026,0.5976027397260274,4.128065395095367,0.15074626865671642,2.7960199004975124,0.25553593261785085,0.08302919708029197,1.164144598570828,2.3155142850440984,1.1513696864732703,23.30662046151978,23.959041095890413,0.8719255766534981,0.03816760073544071,0.09692662528830467,0,NA,NA,0,0,0,1,0.044444444444444446,7.220666666666667,22.88,-1.8642113145378996,29.13,3.4281138268006304,1.079041095890414,0.005230773284846568,0,0.0013175751347220576,0.038209678906939666,0.03952725404166173,0.41635374257217017,0.2793259285610762,0.25956230154024534,0.35191917131119416,0.2860886439933708,0.9552419726734918,0.9753923850076744,0.5113469239993664,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1172D,2R-3W,10.5-13.5,355.18,28.449,5030000,645000,450000,87300,4990000,300000,218000,236000,7030,3920,19700,142000,105000,32000,132000,2090,10100,41000,53200,6500,66300,1040000,53700,10000,353000,283000,41400,677000,82800,454000,247000,164000,72800,11502300,2114300,737630,14354230,0.3504193537375394,0.04493448969397871,0.031349643972543285,0.006081830930673398,0.34763271871775775,0.02089976264836219,0.031628307474521444,0.017207471247151537,0.011425203581104664,0.005071675736002558,0.07245251051432226,0.003741057514056832,0.0057683344909479645,4.897511047266207e-4,0.003706224576309562,0.024592054049572844,0.019715442764955,0.0028841672454739823,0.4373038435791103,0.05607574137346444,0.039122610260556585,0.007589786390547977,0.4338262782226163,0.02608174017370439,0.5564489429125479,0.22882277822447145,0.21472827886298065,0.5648654118599474,5.154639175257732,0.09018036072144289,1.0080160320641283,0.18267076618821748,0.05671077504725898,1.9967223946515045,2.214375772139991,0.21765337748848657,21.633036809786258,22.03408621736491,0.2586539890060912,0.31855688730952236,0.1864003399915002,0.6399338569656883,0.24930747922437674,0.8724035608308606,0.6269119470855725,0.5198237885462555,0.5750693111537641,0.746984126984127,0.44435714285714284,7.856527857142858,14.922650793650792,-0.3989493643180736,15.927631746031746,7.0766160828479965,7.111435423714116,0.009530523433157545,0.0028333988585062973,0.01369250166072421,0.055583422583137886,0.07212288003470575,0.47855971150847987,0.3836611851470249,0.056125699876631914,0.25864239304611264,0.04012944540050599,0.9183465965321367,0.70732957457714,0.22559542881555059,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
1172D,2R-3W,60-63,355.645,28.6861,4640000,544000,359000,73700,4300000,260000,218000,277000,10900,6910,36900,151000,117000,80200,12200,7650,59300,13300,80300,5850,85200,1130000,60200,11100,361000,311000,44900,717000,89400,495000,268000,92400,91000,10176700,2226000,808100,13210800,0.3512277833287916,0.04117842976958246,0.027174735822206073,0.005578768886062918,0.32549126472280254,0.019680867169285736,0.03746934326460169,0.020286432312956067,0.006994277409392315,0.006888303509250008,0.08553607654343416,0.004556877706119236,0.0067671904805159415,8.250825082508251e-4,0.006078360129590941,0.027326127108123658,0.02354134496018409,0.003398734368849729,0.4559434787308263,0.05345544233395894,0.03527666139318247,0.007242033272082306,0.422533827272102,0.025548556997848026,0.5748427672955975,0.202785265049416,0.2223719676549865,0.5601196733241691,4.871099050203528,0.08348837209302326,1.0790697674418606,0.17640471761157367,0.05701754385964912,1.9380644020163709,2.200304892377039,0.2622404903606681,21.38240855643677,21.755036791461144,0.3056676893266591,0.2966493356441363,0.1867771178493279,0.6078865750996899,0.3876819236448007,0.851679104477612,0.4749667700487373,0.5595959595959596,0.5192307692307693,0.7376704234283573,0.3874583055370247,7.76605870580387,14.629734816821838,-0.43813200549163756,15.441642694491687,6.979051306325823,7.1253019746393065,0.013488429649795818,0.009466650167058532,0.07338200717732954,0.016458359113971043,0.09936888998886277,0.44672689023635687,0.38485335973270635,0.055562430392278185,0.26633927688606174,0.07130908865621709,0.8871426803613415,0.39009556907037357,0.169825918762089,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
1172D,2R-3W,110-113,355.96,28.8467,2290000,71600,36100,36000,195000,13700,0,0,18300,24900,60800,0,0,0,0,5210,48800,2290,56300,0,0,174000,4940,9050,34800,21800,51000,108000,5020,574000,405000,0,0,2642400,1162960,182200,3987560,0.5742860295519064,0.017955842670705897,0.009053155313023503,0.009028077320466652,0.04890208548586103,0.003435684980288698,0.14394767727632937,0.10156586985524983,0,0,0.04363570704892215,0.0012388528323084794,0.0012589152263539607,0.004589272637903881,0.01411890980950757,0.00872714140978443,0.005467002377393695,0.012789776203994423,0.8666363911595519,0.027096578867696033,0.013661822585528307,0.013623978201634877,0.07379654859218891,0.005184680593399939,0.15818256861800922,0.34824929490266215,0.4935681364793286,0.5451080050825922,1.0027777777777778,0.18512820512820513,11.743589743589743,0.4077752553916005,0.06564446574029707,0.4112170753860127,2.1567807236074135,1.7455636482214008,20.575407092075125,20.872350698856415,0.8553412462908012,0.0254346644933442,0.08143074581430745,0,NA,NA,0,0,0,1,0.028850574712643677,7.195872413793103,22.88,-1.5468222993589529,29.13,4.2184124745962075,-2.0076493011435836,0.10043907793633369,0.028594950603732162,0.2678375411635565,0.012568605927552141,0.30900109769484085,0.19099890230515917,0.11964873765093303,0.27991218441273324,0.13544857117368939,0.4043135912358781,0.5905598243688255,0.43183742591024554,0.5933062880324543,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1172D,2R-4W,Nov/14,356.655,29.2011,2580000,191000,148000,9710,204000,14800,0,0,9770,5230,30000,0,0,0,0,2780,27200,0,30000,0,0,81900,4350,2290,12700,12500,13800,38900,4910,2970000,1870000,0,0,3147510,4931160,78770,8157440,0.3162756943354778,0.023414208379099324,0.01814294680684136,0.001190324415502903,0.025007845598619176,0.0018142946806841362,0.36408481092107325,0.2292385846540091,0,0,0.010039914482975051,5.332555311470265e-4,6.019045190648046e-4,0.0011976796642083792,0.003677624352738114,0.0015568609759924682,0.0015323434803075475,0.0016917072022595324,0.8196955688782561,0.0606828890138554,0.04702129619921779,0.003084978284421654,0.06481313800432723,0.004702129619921779,0.018486522440967237,0.3792211163296263,0.6022923612294064,0.47456741217573106,15.242018537590113,0.7254901960784313,12.647058823529411,0.6144561329315783,0.06764168190127971,0.44204148676255195,1.9722943319059323,1.5302528451433803,16.458777219238005,16.724563835932987,0.9602021108488266,0.007225315629525383,0.15544098288723124,0,NA,NA,0,0,0,1,0.05995115995115995,7.245322344322345,22.88,-1.2747946448057812,29.13,4.895761334433605,-6.155436164067012,0.12403199187507935,0.035292624095467816,0.34530912784054846,0,0.3808556557064872,0.1612288942490796,0.15868985654436968,0.17519360162498412,0.015722774569704567,0.3826788271651466,0.49511235241843343,0.27181406342328146,0.42676962676962676,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1172D,2R-4W,34,356.885,29.3184,1340000,112000,117000,5040,76200,7110,0,0,1000,3030,5000,0,0,0,0,0,9950,0,9950,0,0,477000,3590,5940,101000,99700,110000,311000,4240,233000,226000,0,0,1657350,943830,321650,2922830,0.4584597804182932,0.03831902642302153,0.04002969724547784,0.0017243561890359685,0.026070623334234287,0.0024325739095328843,0.07971726032646442,0.07732232117502558,0,0,0.16319799646233274,0.0012282616505236363,0.0014506488574429577,3.421341644912636e-4,0.003404234936688073,0.034555550613617626,0.03411077619977898,0.037634758094038996,0.8085196247020846,0.06757775967659214,0.07059462394786858,0.0030409991854466467,0.04597701149425287,0.004289980993755091,0.5136836082769143,0.23944990093554983,0.2468664907875359,0.5355587808417998,23.214285714285715,1.5354330708661417,17.58530183727034,0.7374822750905939,0.08534389629096147,0.4189579750807011,2.1298727884378406,1.7109148133571395,20.050408666798127,20.310856313497823,0.9247184350918791,0.01698014996553325,0.024895324134232618,0,NA,NA,0,0,0,1,0.008888888888888889,7.164133333333334,22.88,-2.1234239304617946,29.13,2.782674413150131,-2.5691436865021764,0.00310896937665164,0,0.030934245297683818,0,0.030934245297683818,0.31400590704181564,0.3099642468521685,0.3419866314316804,0.25417232986692795,0.20227443766201186,0.9659567853256645,0.909466721785862,0.5220692928334124,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1172D,2R-4W,85.5-88.5,356.935,29.3439,1510000,71300,101000,4350,69300,3790,0,0,2600,3810,9730,0,0,0,0,1000,21700,0,22700,0,0,467000,8880,21400,22000,37800,189000,249000,12300,722000,102000,0,0,1759740,1312180,274100,3346020,0.4512824191128565,0.02130889833294481,0.030185115450595035,0.0013000520020800832,0.020711173274517186,0.0011326889857203484,0.21577874609237244,0.030483977979808848,0,0,0.1395688011428503,0.0026538992594186527,0.0036760091093298902,7.770425759559118e-4,0.006784179413153538,0.006574975642703869,0.011297003604282102,0.05648501802141051,0.8580813074658756,0.04051734915385227,0.05739484241990294,0.002471956084421562,0.03938081762078489,0.0021537272551626946,0.372037372921398,0.07773323781798229,0.5502293892606197,0.6048547993792951,23.2183908045977,1.4574314574314575,21.78932178932179,0.7073356290542164,0.05185387877958681,0.32886108175071316,2.3388815745407383,2.010020492790025,23.664937361867477,24.38546220350255,0.9490553554363008,0.05672845572537192,0.0685812610102831,0,NA,NA,0,0,0,1,0.026338329764453963,7.1918779443254826,22.88,-1.7209039147875111,29.13,3.7849492521790973,1.5054622035025496,0.009485589201021525,0.0036483035388544327,0.0791681867931412,0,0.08281649033199562,0.08026267785479752,0.13790587376869756,0.6895293688434878,0.1727942103537837,0.31353814493605764,0.9076979204669828,0.8860759493670886,0.8246527777777778,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1172D,2R-4W,63-66,357.175,29.4663,474000,41800,33400,8630,243000,13200,20400,18300,12800,23800,27100,22000,9200,6900,10300,5130,54300,2020,61500,531,2380,117000,12500,2270,26300,28800,76400,132000,13000,38700,31200,17200,2910,814030,232510,205800,1252340,0.3784914639794305,0.03337751728763754,0.02667007362217928,0.006891099861060095,0.1940367631793283,0.010540268617148697,0.030902151173004135,0.02491336218598783,0.01373428941022406,0.0023236501269623265,0.09342510819745437,0.009981314978360509,0.010380567577494929,0.01022086653784116,0.04910806969353371,0.02100068671447051,0.022996949710142614,0.06100579714773943,0.5822881220593835,0.05134945886515239,0.04103042885397344,0.010601574880532658,0.29851479675196246,0.016215618588995492,0.6128768655111608,0.2206786804868608,0.1664444540019784,0.5692054003916315,3.8702201622247974,0.1374485596707819,1.9506172839506173,0.2465370702585066,0.05152224824355972,1.4241367025785292,2.2273745373106353,0.8032378347321061,21.86040041005819,22.28927754302793,0.43475226796929517,0.31743460089778647,0.27017543859649124,0.44864548820892614,0.27053107267846827,0.6882998171846435,0.426427596959657,0.4728682170542636,0.4463948450172203,0.7409102016835559,0.33362609786700126,7.680465495608533,14.731625842947832,-0.4450922882670693,15.610694323847948,6.961720202214997,7.557651700080097,0.062196307094266275,0.024927113702623908,0.26384839650145775,0.009815354713313898,0.2988338192419825,0.12779397473275025,0.13994169096209913,0.37123420796890183,0.4695306974515754,0.47375371409706174,0.6389698736637512,0.532404181184669,0.6675988813423892,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1172D,2R-4W,134.5-137.5,357.89,29.7297,1040000,37400,15100,3760,70400,5270,0,0,4890,8810,21800,0,0,0,0,2560,54000,0,56500,0,0,258000,3620,6830,8430,97700,821000,927000,6230,368000,82600,0,0,1171930,718450,988520,2878900,0.36124908819340723,0.012991072979262913,0.005245058876654277,0.0013060543957761645,0.02445378443155372,0.0018305602834415922,0.12782660043766716,0.02869151411997638,0,0,0.08961756226336448,0.001257424710827052,0.0021640209802355065,0.0016985654242940012,0.019625551425891834,0.0029282017437215605,0.03393657299663066,0.2851783667372955,0.8874250168525424,0.03191316887527412,0.012884728610070567,0.0032083827532361146,0.06007184729463364,0.004496855614243171,0.3728164799220544,0.11496972649453685,0.5122137935834087,0.39216642288314646,4.01595744680851,0.21448863636363635,14.772727272727273,0.4264382627150762,0.06964450905246465,0.32558258599063084,1.798629605126694,1.4730470191360632,10.793375826539787,11.87938566552901,0.9096277278562259,0.04588386360393779,0.06003360089602389,0,NA,NA,0,0,0,1,0.024147286821705426,7.188394186046512,22.88,-1.8529111354300645,29.13,3.4562512727791397,-11.000614334470988,0.004946789139319387,0.0025897301015659776,0.05462711932990734,0,0.05715615263221786,0.00852790029539109,0.09883462145429531,0.8305345364787764,0.5791080100997674,0.7732645510550229,0.9378970582284627,0.9330711793519645,0.8892296064352427,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
