age,BAYSPAR,BAYSPmin,BAYSPmax,BAYMBT0,BAYMBTmin,BAYMBTmax
26.807,20.14,14.06,25.99,17.94,9.36,25.75
27.94,22.03,15.99,28.05,27.29,19.77,34.84
28.449,19.53,13.34,25.29,18.19,10.51,25.83
28.686,19.52,13.29,25.30,17.74,9.56,25.79
28.847,18.88,12.62,24.57,27.30,19.32,35.19
29.201,13.79,7.02,19.55,27.03,19.53,35.11
29.318,18.27,11.94,23.98,27.39,19.14,35.21
29.344,22.03,16.01,28.04,27.33,19.65,35.25
29.466,20.16,14.02,25.95,17.94,10.47,26.29
29.73,8.66,0.93,14.98,27.35,19.44,34.81
29.923,20.14,14.02,25.95,16.67,8.72,24.00
31.485,20.16,14.01,25.97,14.45,6.43,21.91
33.83,20.15,13.97,25.98,20.08,12.21,27.98
34.59,20.14,14.04,26.00,20.62,12.62,28.86
34.934,18.90,12.62,24.65,20.58,12.22,29.04
35.711,22.69,16.73,28.75,17.42,9.13,24.90
35.747,17.00,10.53,22.67,20.11,12.52,27.84
35.789,19.50,13.30,25.25,19.39,11.41,27.00
35.829,19.52,13.29,25.28,21.49,14.31,29.55
36.086,18.23,11.92,23.93,21.51,13.93,29.07
36.179,18.24,11.94,23.90,21.67,13.29,29.92
36.378,18.26,11.97,23.97,21.61,13.51,29.36
36.564,18.25,11.94,23.91,21.51,13.80,29.80
36.734,19.54,13.34,25.29,21.61,13.94,29.79
36.867,20.16,13.99,25.94,21.68,13.81,29.87
37.01,19.53,13.28,25.20,21.78,13.95,29.97
37.014,19.51,13.30,25.24,21.76,14.13,29.29
37.205,20.76,14.70,26.61,21.73,13.57,29.70
37.405,19.50,13.29,25.26,22.07,14.17,29.35
37.605,22.04,16.04,28.05,22.70,14.80,30.69
38.21,20.78,14.64,26.66,22.02,14.28,30.70
38.539,20.16,13.97,25.95,22.69,14.00,31.14
38.733,20.78,14.69,26.60,22.82,15.55,30.77
38.968,20.78,14.69,26.67,23.60,16.02,31.60
39.121,22.02,16.03,28.03,22.53,14.46,30.30
39.196,20.14,13.97,25.94,22.66,15.06,30.54
39.412,23.28,17.34,29.52,22.23,14.08,30.18
39.484,22.65,16.73,28.72,23.26,15.25,31.31
39.578,23.93,18.04,30.29,23.25,14.85,31.24
39.621,25.80,19.93,32.46,22.79,14.89,30.87
39.659,23.93,17.99,30.26,23.45,14.93,30.94
39.777,24.55,18.66,31.01,23.78,15.58,32.03
39.809,25.15,19.31,31.71,23.21,15.38,30.98
39.836,27.66,21.83,34.71,23.03,14.84,31.23
39.871,28.91,23.08,36.26,22.94,15.58,30.70
39.893,28.28,22.40,35.46,22.89,14.83,30.72
39.926,28.91,23.09,36.25,22.46,13.62,30.49
39.953,27.03,21.18,34.01,22.12,13.90,29.76
39.976,25.15,19.25,31.70,22.58,14.31,30.73
40.012,26.40,20.57,33.21,22.84,14.96,30.76
40.034,25.78,19.95,32.43,22.65,14.61,31.16
40.067,23.88,18.00,30.21,22.45,14.80,30.62
40.102,22.67,16.71,28.70,22.32,14.01,30.59
40.137,22.05,15.98,28.11,22.13,13.82,30.42
40.21,22.65,16.66,28.76,23.05,15.45,31.01
40.241,20.79,14.68,26.60,22.34,14.82,30.35
40.355,21.42,15.35,27.31,22.27,14.39,30.14
40.409,22.01,15.98,28.04,22.73,14.65,31.06
40.501,22.02,16.02,28.03,22.51,14.65,31.20
40.578,24.55,18.63,31.01,23.06,14.69,31.12
40.658,22.04,16.02,28.12,23.34,15.44,31.07
40.746,22.66,16.70,28.76,22.59,14.81,30.85
40.838,22.06,16.08,28.09,22.81,14.62,30.42
40.914,23.91,17.97,30.21,22.65,15.81,31.53
41.033,22.66,16.64,28.82,22.67,14.68,30.39
41.258,25.16,19.31,31.76,22.85,14.56,30.70
41.466,23.91,18.00,30.22,22.82,14.77,30.79
41.807,24.55,18.67,30.97,23.02,15.20,30.87
42.309,24.54,18.60,30.99,21.83,14.04,29.73
42.733,26.43,20.56,33.22,22.84,14.61,30.57
43.072,23.92,17.99,30.24,22.08,13.80,30.02
43.345,22.03,16.03,28.08,20.98,13.47,29.39
43.551,24.54,18.67,30.96,23.16,15.77,31.29
43.881,24.52,18.68,30.90,23.31,15.49,30.67
43.933,23.30,17.31,29.51,23.63,15.15,31.28
44.031,23.92,17.98,30.26,23.14,14.94,30.67
44.198,22.02,16.11,28.05,21.97,14.06,30.30
44.345,21.41,15.35,27.37,21.85,14.60,29.80
44.44,20.79,14.71,26.63,22.26,13.84,30.46
44.56,23.29,17.32,29.52,22.89,15.72,31.03
44.609,23.31,17.34,29.49,23.15,15.15,30.74
44.658,23.88,18.06,30.26,23.32,15.48,30.83
44.707,22.65,16.69,28.76,22.86,15.03,30.70
44.756,25.18,19.32,31.74,23.14,14.88,31.87
44.805,22.68,16.67,28.84,22.78,15.11,30.71
44.874,22.04,16.02,28.06,23.42,14.97,31.16
44.948,22.67,16.65,28.84,27.34,19.28,35.71
45.145,23.91,18.02,30.23,22.76,14.62,30.94
45.279,24.56,18.68,30.97,23.14,14.94,30.84
45.445,25.16,19.29,31.69,22.81,14.79,31.15
45.496,26.40,20.59,33.23,22.93,15.28,31.01
45.518,28.88,23.05,36.29,23.22,15.38,31.79
45.56,27.02,21.18,34.00,23.65,15.27,31.46
45.601,25.77,19.91,32.41,22.69,15.22,30.48
45.765,26.42,20.59,33.18,22.55,14.17,30.84
45.849,28.26,22.45,35.49,23.50,15.79,32.07
46.075,27.02,21.21,34.05,23.37,16.11,31.39
46.19,27.66,21.83,34.76,23.77,16.00,31.57
46.421,30.15,24.28,37.83,23.95,16.29,32.07
46.76,28.26,22.47,35.47,23.55,15.95,31.45
47.04,29.51,23.63,37.03,23.91,15.91,31.65
47.344,28.90,23.03,36.23,23.78,15.77,32.36
47.38,30.79,24.89,38.56,23.77,15.41,32.02
