Hole,Depth (c. mbsf ,Core (-R),Section (-W),Interval (top),Interval (bottom),Dage,Open,Spinif,Cribro,Cleisto,Proxgap,Aliso,Glaph,Ennead,Wetzel,Palaeop,Spinvozz,Defl,Phthano,Seneg,Gonio,Protop,Thermo,Endemic,Terr,,,,
1172D,356.32,2,3,11,14,29.03,76.7,62.0,0.0,0.0,0.0,9.3,0.0,2.3,0.0,,0.0,0.0,0.0,0.0,10.9,0.8,10.1,0.0,5.8,,,,
1172D,356.82,2,3,60,63,29.29,75.1,56.7,0.0,1.4,2.0,18.1,0.7,0.0,0.0,,0.0,1.4,0.0,0.0,0.7,0.7,0.7,1.4,1.3,,,,
1172A,358.82,39,3,122,124,33.27,2.1,1.0,0.7,0.0,2.4,1.4,0.0,1.0,0.0,,2.7,10.0,3.4,0.0,1.4,75.6,0.0,14.1,2.7,,,,
1172A,359.05,39,3,145,147,33.95,16.4,15.1,3.3,1.3,2.6,2.0,0.7,2.6,0.0,,16.4,9.9,4.6,0.7,1.3,36.8,0.0,28.9,19.6,,,,
1172A,359.15,39,4,5,7,34.11,38.1,27.1,5.9,0.8,24.6,25.8,0.0,2.1,0.0,,3.4,12.7,0.8,0.4,0.8,5.5,0.0,17.8,16.0,,,,
1172A,359.20,39,4,10,12,34.19,36.4,31.1,6.0,7.9,2.6,4.6,0.7,2.6,0.0,,3.3,11.3,6.6,0.7,0.7,13.2,0.0,24.5,18.8,,,,
1172A,359.35,39,4,25,27,34.43,28.2,23.4,4.0,9.7,0.8,0.8,0.0,0.8,0.0,,7.3,12.1,5.6,0.8,0.8,15.3,0.0,34.7,26.6,,,,
1172A,359.50,39,4,40,42,34.67,14.2,6.8,2.1,4.7,3.2,5.8,0.0,1.1,0.0,,17.9,13.2,3.7,1.6,0.5,26.8,0.0,37.9,13.2,,,,
1172A,359.55,39,4,45,47,34.75,16.1,10.9,0.7,4.4,2.2,4.4,0.0,0.7,0.0,,23.4,8.8,4.4,0.7,0.7,25.5,0.0,40.9,20.3,,,,
1172D,359.63,2,5,42,45,34.88,19.2,0.0,0.0,0.0,26.9,34.6,0.0,7.7,0.0,,0.0,0.0,0.0,0.0,0.0,38.5,0.0,0.0,0.0,,,,
