Hole,Depth (c. mbsf ,Core (-R),Section (-W),Interval (top),Interval (bottom),,Achilleadonium biformoides,Achomosphaera alcicornu,Achomosphaera crassipellis,Achomosphaera ramulifera,Hystrichostrogylon membraniphorum,Adnatosphaeridium vitanum,Aiora fenestrata,Alisocysta circumtabulata,Alisocysta chilensis,Alisocysta margarita,Alisocysta reticulata sp. A,Alisocysta reticulata ,Alterbidinium acutulum,Alterbidinium distinctum,Amphidiadema? sp.,Apectodinium homomorphum, Apectodinium hyperacanthum , Apectodinium parvum , Apectodinium quinquelatum , Apectodinium cf Wetz ,Apectodinium spp. (pars.),Apteodinium australiense,Arachnodinium antarcticum,Areoligera spp., Areoligera senonensis ,Batiacasphaera spp. (pars),Batiacasphaera compta,Batiacasphaera sp. c.f. B. cassicula,Brigantedinium spp.,Brigantedinium? blank,Caligodinium spp,Cannosphaeropsis sp.,Carpatella spp,Cassidium fragile,Cassidium filosum,Cerebrocysta bartonensis,Cerebrocysta wr small,Cerebrocysta minima,Cerebrocysta delicata,Cerodinium depressum,Cerodinium indet.,Cerodinium debielii,Cerodijnium depressum,Cerodinium sp. A,Cerodinium sp. A 'small' ,Cerodinium speciosum,Cerodinium striata,Circulodinium compactum,Cleistosphaeridium placacanthum,Cleistosphaeridium polypetellum,Cleistosphaeridium diversispinosum,Cordosphaeridium fibrospinosum,Cordosphaeridium minimum,Corrudinium obscurum,Corrudinium regulare,Corrudinium incompositum,Cribroperidinium spp. ,Damassadinium californicum,Danea crassimurata,Dapsilidinium spp.,Deflandrea antarctica,Deflandrea convexa,Deflandrea cygniformis,Deflandrea denticulata,Deflandrea foveolata,Deflandrea oebisfeldensis,Deflandrea phosphoritica,Deflandrea/ Cerodinium spp. (pars.),Deflandrea sp. A,Deflandrea indet.,Diconodinium sp.,diconodinium psilate large,Diconodinium granulate,Dinopterygium sp. A,Dinogymnium,Diphyes colligerum,Elytrocysta brevis,Elytrocysta druggii,Distatodinium paradoxum,Dracodinium waipawaense,Eocladopyxis spp. (pars),"Eocladopyxis sp. A Bijl et al., 2013",Enneadocysta multicornuta,Enndeadocysta partridgei,Enneadocysta pectiniformis,Enneadocysta cf robusta,Exochosphaeridium bifidum,Fibrocysta bipolaris, Fibrocysta spp. ,Fibrocysta sp. A,Florentinia mantellii,Florentinia reichartii,Froomea,Gelatia inflata,Gerdiocysta spp.,Glaphyrocysta delicata,Glaphyrocysta spp. (pars),Glaphyrocysta ordinata,Glaphyrocysta inticata,Glaphyrocysta divaricata,Glaphyrocysta exuberans,Glaphyrocysta pastielsii,Glaphyrocysta retiintexta,Hafniasphaera septata,Heteraolacocysta spp.,Homotryblium oceanicum,Hemiplacophora semilunifera,Hystiocysta verrucosa,Hystiocysta palla,Homotryblium tasmaniense,Hystrichokolpoma pusillum,Hystrichokolpoma bullatum,Hystrichokolpoma spp. (pars.),Hystrichokolpoma rigaudiae,Hystrichokolpoma spinosum,Hystrichokolpoma truncatum,Hystrichosphaeridium ?truswelliae,Hystrichosphaeridium ?tubiferum,Hystrichosphaeropsis spp.,Impagidinium aculeatum,Impagidinium cassiculum,Impagidinium crassimuratum,Impagidinium dispertitum,Impagidinium maculatum,Impagidinium agremom,Impagidinium paradoxum,Impagidinium parvireticulatum,Impagidinium velorum,Impagidinium victorianum,Impagidinium crouchiae,Impagidinium waipawaensis,Impagidinium spp. (pars.),Impletosphaeridium spp.,Isabellidinium spp.,Kallosphaeridium,Kenleyia spp.,Kisselovia coleothrypta,Kisselovia edwardsii,Lejeunecysta hyalina,Lejeunecysta rotundata,Lentinia serrata,Leptodinium pustulatum,Lingulodinium machaerophorum,Lophocysta spp.,Manumiella spp.,Manumiella seymourensis,Manumiella rotunda,Melitasphaeridium speudorecurvatum,Membranophoridium perforatum,Membranosphaera spp.,Microdinium spp.,microdinium? sp. A,Muratodinium finbriatum,Nelsoniella spp.,Nematosphaeropsis labirinthus,Ochetodinium spp.,Octodinium askiniae,Odontochitina operculata,Oligosperidium spp.,Operculodinium centrocarpum,Operculodinium? sp. A,"Operculodinium sp. A Brinkhuis, 2003",Operculodinium spp. pars.,Palaeocystodinium australinum,Palaeocystodinium golzowense,Palaeoperidinium pyrophorum,Palaeotetradinium minisculum,Pentadinium laticinctum,Phthanoperidinium crenulatum,Phthanoperidinium sp.,Phthanoperidium echinatum,Phthanoperidinium comatum,Phthanoperidnium sp A houben 748,Polysphaeridium spp.,Protoperidinium sp. A,Pyxidinopsis waipawaensis,Pyxidinopsis sp. A,Pyxidinopsis meadensis,Reticulatosphaera actinocoronata,Rhombodinium spp.,Rottnestia borussica,Samlandia delicata,Samlandia septata,Schematophora speciosa,Selenopemphix spp.,Senegalinium sp. A brown,Senegalinium sp. B transparent,Senegalinium/Alterbidium indet.,Senegalinium bicavatum,Senegalinium dilwynense,Senoniasphaera inronata,Spinidinium sp. A,Spinidinium densispinatum,Spinidinium macmurdoense,Spinidinium schellenbergii,Spiniferella cornuta,Spiniferites spp. (pars.),Spiniferites ramosus,Spiniferites sp. A Brinkhuis 2003,Spiniferites sp. B Brinkhuis 2003,Stoveracysta kakanuensis,Stoveracysta ornata,subtilisphaera,Tanyosphaeridium spp.,Tectatodinium,Thalassiphora delicata,Thalassiphora pelagica,Trithyrodinium evittii ,Trithyrodinium vermiculatum?,Turbiosphaera filosa,Turbiosphaera galeata,Vozzhennikovia apertura,Vozzhennikovia angulata,Vozzhennikovia röhliae,Vozzhennikovia stickleyae,Vozzhennkovia netrona,Vozzhennikovia spp. (pars.),Wetzelliella astra,Wetzeliella samlandica,Wilsonidium ornatum,Wilsonidium echinosuturatum,total dinoflagellates,,Impagidinium spp.,Cerebrocysta group,Spiniferites group,Operculodinium spp.,Cordosphaeridium fibrospinosum group,Cleistosphaeridium spp.,Batiacasphaera,Diphyes colligerum,Hystrichosphaeridium spp.,"Elytrocysta, Microdinium spp.",Alisocysta/Schematophora,Hystrichokolpoma,Glaphyrocysta group,Enneadocysta spp.,Wetzeliellioids,Palaeoperidinium pyrrophorum,Palaeocystodinium spp.,Spinidinium spp.,Vozzhennikovia spp.,Deflandrea group,Manumiella spp.,Phthanoperidinium spp,Senegalinium group,Goniodomids,Protoperidinium spp.,other,,,"%Group cf. Frieling & Sluijs, 2018",Spiniferites cpx,Cordosphaeridium cpx,Areoligera cpx,Operculodinium,Lingulodinium,Proximal G-cysts Apical,Proximal G-cysts Precingular,Hystrichosphaeridium,Hystrichokolpoma,Cleistosphaeridium,Epicystal Goniodomids,Impagidinium,Florentinia reichartii,Diphyes,Apectodinium,Hafniasphaera,Senegalinium (inclusive),Senegalinium (exclusive),"Phth, Spini & Vozz.",Cerodinium & Deflandrea,Protoperidinioids,Hex-P,Thermophiles,Open Marine,Octodinium askinae,SUM,%endemic,acritarchs,bisaccate,nothofagus,other pollen,spores,sporomorphs unspecified,T/T+M
1172D,356.32,2,3,11,14,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,12,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,129,,2,0,80,17,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,14,1,0,,,,62.02,0.00,2.33,13.18,0.78,0.00,0.00,0.00,9.30,0.00,10.08,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.78,10.08,76.74,0.00,100,0,0,4,0,3,1,,0.06
1172D,356.82,2,3,60,63,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,27,,,,,,,,,2,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,147,,3,0,83,24,0,2,0,0,0,3,0,27,1,0,0,0,0,0,0,2,0,0,0,1,1,0,,,,56.66,0.00,0.68,16.38,0.00,2.05,0.00,0.00,18.09,1.37,0.68,2.05,0.00,0.00,0.00,0.00,1.37,0.00,0.00,1.37,0.68,2.05,0.68,75.09,0.00,100,2,0,2,0,0,0,,0.01
1172A,358.82,39,3,122,124,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,2,,22,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,2,,,,,,,2,,,1,,,1,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,2,2,,,,,,,,1,,5,,,,,,,,,,291,,1,0,3,2,2,0,0,0,0,3,4,0,0,3,0,0,0,3,5,29,0,10,0,4,220,2,,,,1.03,0.69,1.03,0.69,1.37,2.41,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.00,0.00,16.15,6.19,6.19,9.97,75.60,91.75,0.00,2.06,0.69,100,41,10,,,,,8,0.03
1172A,359.05,39,3,145,147,AS,,,,2,,,,,,,,,,1,,,,,,,,,,1,,,,,49,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,4,,,,,,3,,8,,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,5,,,,2,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,7,,,,,1,,,1,,,,,,2,,,,,,,,,6,,,20,,,,1,1,,,,,1,,,2,,19,,,,,,,,,,152,,1,1,23,1,5,2,0,0,0,2,2,1,1,4,0,0,0,6,19,15,0,7,1,2,56,3,,,,15.13,3.29,3.29,0.66,1.32,2.63,0.66,0.00,0.66,1.32,0.00,0.66,0.00,0.00,0.00,0.00,31.58,21.71,21.05,9.87,36.84,68.42,0.00,16.45,0.66,99,44,30,,,,,37,0.20
1172A,359.15,39,4,5,7,AS,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,2,,,1,10,,3,,,,,2,16,,,,,,4,,10,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,2,,,5,,,2,,,,1,,,,2,,,,,,,,,,,,,,1,,,19,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,4,,,63,,,,28,28,,,,,1,,,2,,4,,,,,,,,,,236,,7,3,64,19,14,2,0,2,0,0,56,5,0,5,0,0,0,4,4,30,0,2,1,2,13,3,,,,27.12,5.93,2.12,8.05,0.85,24.58,1.27,0.00,2.12,0.85,0.00,2.97,0.00,0.85,0.00,0.00,17.37,4.66,4.24,12.71,5.51,22.88,0.00,38.14,0.42,100,42,34,,,,,45,0.16
1172A,359.20,39,4,10,12,AS,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,16,,,,,,,,,,,,,,,,,,,,12,,,1,,,1,,,,,,6,,,,,,4,,7,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,7,,,3,,,2,,,,,,,,10,,,,,1,,,1,,,,,,3,,,,,,,,,,,,46,,,,2,2,,,,,,,,8,,5,,,,,,,,,,151,,3,2,47,5,9,12,0,0,0,0,4,3,1,4,0,0,0,0,5,17,0,10,1,1,20,7,,,,31.13,5.96,3.31,3.31,0.66,2.65,1.32,0.00,1.99,7.95,0.00,1.99,0.00,0.00,0.00,0.00,21.85,10.60,9.93,11.26,13.25,35.10,0.00,36.42,4.64,100,37,21,,,,,35,0.19
1172A,359.35,39,4,25,27,AS,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,12,,,,,,2,,,,,,3,,,,,,2,,10,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,1,,,1,,,,,,,4,,,,1,,,,,,,,,,,,,,15,,,1,,,2,,,,,,,,7,,,,,,,,,,,,,,2,,,,,,,,,1,,,29,,,,,,,,,,,,,5,,8,,,,,,,,,,124,,3,2,29,3,5,12,0,0,0,1,0,1,0,1,0,0,0,1,8,15,0,7,1,1,19,15,,,,23.39,4.03,0.81,2.42,0.81,0.81,1.61,0.00,0.81,9.68,0.00,2.42,0.00,0.00,0.00,0.00,25.81,13.71,12.90,12.10,15.32,41.13,0.00,28.23,12.10,100,43,34,,,,,45,0.27
1172A,359.50,39,4,40,42,AS,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,9,,,1,,,4,,,,,,4,,,,,,1,,20,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,7,,,,,,,,,1,,,,,,1,,,1,,,,,,,20,,,,1,,,,,,,1,,,,,,,10,,,3,,,8,,,,,,,,7,,,,,,,,,,,,,,2,,,,,,,,,,,,12,,,,2,2,,,,,1,,,2,,34,,,,,,,,,,190,,3,4,13,11,4,9,0,0,0,2,4,7,0,2,0,0,0,0,34,25,0,7,3,1,51,10,,,,6.84,2.11,1.05,5.79,0.53,3.16,2.11,0.00,3.68,4.74,0.00,1.58,0.00,0.00,0.00,0.00,36.32,23.16,21.58,13.16,26.84,63.16,0.00,14.21,5.26,100,72,20,,,,,29,0.13
1172A,359.55,39,4,45,47,AS,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,20,,,,,,,,,,1,,,,,,,,,,6,,,,,,,,,,,,2,,,,,,1,,9,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,2,,,,,,1,,,1,,,,,,,12,,,,1,,,,,,,,,,,,,,11,,,1,,,2,,,,,,,,6,,,,,,,,,,,,,,3,,,,,,,,,,,,14,,,,1,1,,,,,,,,1,,32,,,,,,,,,,137,,4,1,15,3,1,6,0,0,0,1,2,4,0,1,0,0,0,0,32,12,0,6,1,1,35,12,,,,10.95,0.73,0.73,2.19,0.73,2.19,0.73,0.00,2.92,4.38,0.00,2.92,0.00,0.00,0.00,0.00,37.23,28.47,27.74,8.76,25.55,62.77,0.00,16.06,8.03,99,56,35,,,,,35,0.20
1172D,359.63,2,5,42,45,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,13,,3,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,,,,0.00,0.00,7.69,0.00,0.00,26.92,0.00,0.00,7.69,0.00,0.00,19.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.46,38.46,0.00,19.23,0.00,100,0,0,,,,,0,0.00
