,,ungrouped dinocyst assemblages,,,,eco-grouped dinocyst assemblages,,,
depth_mbsf,age_GTS12,number of taxa counted,Fisher's alpha,Shannon index,Simpson Index,number of taxa counted,Shannon index,Simpson Index,sumCV (window size 31)
356.32,29.0303,9,2.201880317,1.387961416,0.623400036,8,1.24297434,0.578330629,
356.815,29.2827,13,3.449393039,1.393013637,0.633484376,10,1.306167679,0.618108539,
358.82,33.27,20,4.869924839,1.150693071,0.420141469,11,0.978500462,0.413552036,
359.05,33.95,30,11.19685446,2.525833915,0.852060248,14,1.824277231,0.7752,
359.15,34.11,28,8.27031412,2.59275434,0.880350474,15,2.1015736,0.832519391,
359.2,34.19,27,9.57621266,2.616467142,0.871803869,14,2.194561785,0.845752379,
359.35,34.43,24,8.865269331,2.585187293,0.89151925,14,2.168296969,0.861082206,
359.5,34.67,29,9.536853138,2.728662738,0.906814405,14,2.140888164,0.84033241,
359.55,34.75,27,10.06933226,2.597084886,0.888699451,14,2.026146411,0.820177336,
359.63,34.878,6,4.775421107,1.561868002,0.74852071,5,1.432442682,0.730769231,
359.75,35.065,27,9.452721633,2.753688468,0.913048908,13,2.056258223,0.837127992,
359.865,35.2375,19,4.128258888,1.331430578,0.574165912,11,0.780992542,0.315016862,
359.95,35.3925,24,9.370212032,2.462128859,0.852997448,12,1.712177504,0.721619898,
360.145,35.7071,24,7.854112447,2.307456449,0.813846149,12,1.783861622,0.741624575,
360.365,35.742,27,8.503338237,2.621920165,0.883473802,13,2.201851069,0.847556481,35.07963546
360.44,35.7538,13,3.556498461,1.799932246,0.775896637,8,1.224353711,0.608264647,34.22237014
360.57,35.7744,14,3.601983513,1.254977552,0.534140072,7,0.681425774,0.298674959,33.37050928
360.61,35.7808,28,7.269072484,2.262030357,0.816060758,14,1.82221528,0.763077031,32.7633902
360.65,35.7871,13,2.692168355,1.04288688,0.52653376,9,0.418346494,0.163415684,33.04076024
360.835,35.8164,21,5.638989049,2.258658487,0.841759003,12,1.839490836,0.791743613,33.73575734
361.15,35.8663,20,4.891254289,1.793244297,0.727628115,11,1.182831002,0.589784992,34.78177816
361.34,35.922,28,9.845265063,2.499700585,0.859400629,12,1.93717442,0.813998875,35.47391193
361.45,36.01,17,3.877570403,1.549041496,0.699742173,10,0.920224362,0.515421914,36.75816787
361.565,36.0621,21,5.424384596,1.040402883,0.353062371,11,0.844343139,0.320004902,38.45243791
361.64,36.076,17,4.151921062,1.611465039,0.691278635,10,0.913561631,0.47876718,37.14179976
361.65,36.0779,15,3.355008303,1.274974535,0.578549348,9,0.868776819,0.471272295,38.40287968
362.085,36.1586,16,3.638342323,1.041827251,0.38393695,9,0.853065175,0.358158191,38.30633577
362.4,36.2171,14,3.164043216,1.741685868,0.757270152,8,0.953581998,0.509475786,39.05682991
362.65,36.2636,13,2.561912918,1.423267361,0.663909833,7,0.950344621,0.540769941,40.79483991
362.74,36.2803,15,3.632964687,1.285064736,0.605997893,8,0.809453234,0.463558153,40.28882717
362.865,36.3035,15,3.466660393,1.29807418,0.514422864,8,1.061993071,0.492523193,39.42661576
362.95,36.3193,19,4.597670114,1.616092678,0.667647502,9,0.919614691,0.469116242,39.10174074
363.15,36.3564,17,3.863037433,1.895540193,0.797469009,10,0.928912602,0.445921775,40.06486393
363.3,36.3843,16,3.949510928,1.768342368,0.761487261,10,0.870499725,0.390798126,39.71060987
363.365,36.3964,18,4.436844327,1.786598354,0.680858739,8,1.380362022,0.640905813,30.43229248
363.58,36.4363,10,1.95439452,0.767286278,0.334057309,5,0.563079244,0.309061119,30.01068298
363.65,36.4493,11,2.117155875,0.643147528,0.265526317,8,0.531890124,0.258227147,23.61099139
363.7,36.4586,10,1.859292602,1.0627914,0.509797827,6,0.726035836,0.454512099,24.30183699
363.91,36.4976,14,3.250503882,1.445831438,0.608466916,8,0.942989168,0.441317704,24.10499775
364.05,36.5236,13,2.912089173,1.771147123,0.770016,9,1.338293405,0.686208,24.07620275
364.435,36.5951,15,3.335629209,1.080941725,0.404880386,10,0.95601963,0.3956355,24.13676527
365.05,36.7064,19,4.765865551,2.100904905,0.829963467,12,1.346756075,0.598072562,24.69924026
366.435,36.8845,17,3.942994955,1.747628667,0.715124853,9,1.477428183,0.688965517,23.34740703
366.55,36.8993,13,2.447008037,1.245062747,0.600673668,8,0.902854211,0.528684292,21.56838965
367.465,37.043,15,3.313811562,0.821970315,0.298707098,10,0.736743785,0.296354388,21.42074273
368.05,37.16,14,3.031737462,1.421192261,0.656812674,9,1.214339042,0.633028913,22.02957119
368.49,37.248,17,3.817848915,1.996821639,0.802564397,9,1.592171283,0.750567915,21.47328964
368.49,37.248,17,3.951110415,2.066899803,0.826364776,11,1.609894712,0.743507873,21.29430914
369.445,37.439,15,3.451042474,1.416904391,0.672497794,12,1.331001794,0.662204167,21.10188704
369.55,37.46,8,1.562353971,0.93879346,0.500443788,6,0.902071486,0.499674556,20.94054795
370.445,37.639,6,1.114132504,0.546655849,0.272727272,6,0.546655853,0.272727273,20.63418871
371.05,37.76,18,4.4654714,1.65938611,0.694684391,12,1.356361239,0.642200331,20.16947075
372.55,38.06,11,1.984432182,0.63319555,0.276412117,8,0.364737897,0.158447211,25.45875234
373.3,38.21,13,3.026524976,1.532514233,0.714288693,7,1.272147692,0.684723004,25.98377584
374.65,38.3565,20,5.463452678,1.759587262,0.675161615,10,1.35879706,0.593759481,26.13745232
376.15,38.4096,11,2.012397477,0.800636262,0.418905447,8,0.712765472,0.409184782,31.21306066
