location,substrate,type,IIIa-tot,IIIb-tot,IIIc-tot,Iia-tot,Iib-tot,Iic-tot,brGDGT-Ia,brGDGT-Ib,brGDGT-Ic,SUMBR,FR.TETR,FR.PEN,FR.HEX,NoRINGStetra,NoRINGSpenta,NoRINGSpenta5,NoRINGSpenta6,IRpenta,IRhexa,,Iia,Iia',Iib,Iib',Iic,Iic',IIIa,IIIa',IIIb,IIIb',IIIc,IIIc'
Harrell,shelf sediment,Paleogene,1.09E+04,,,1.05E+05,1.36E+04,,1.82E+06,2.56E+05,4.75E+04,2253000.00,94.25,5.26,0.48,0.17,0.11,,,0.00,0.00,,,,,,,,,,,,,
Harrell,shelf sediment,Paleogene,,,,2.47E+04,,,7.69E+05,1.04E+05,3.60E+04,933700.00,97.35,2.65,0.00,0.19,0.00,,,0.00,,,,,,,,,,,,,,
Harrell,shelf sediment,Paleogene,,,,,,,1.63E+05,2.56E+04,4.99E+03,193590.00,100.00,0.00,0.00,0.18,,,,,,,,,,,,,,,,,,
Harrell,shelf sediment,Paleogene,,,,5.82E+03,,,2.50E+05,4.26E+04,1.27E+04,311120.00,98.13,1.87,0.00,0.22,0.00,,,0.00,,,,,,,,,,,,,,
Harrell,shelf sediment,Paleogene,,,,9.71E+03,,,3.98E+05,7.03E+04,6.19E+04,539910.00,98.20,1.80,0.00,0.37,0.00,,,0.00,,,,,,,,,,,,,,
Harrell,shelf sediment,Paleogene,,,,,,,1.22E+05,8.84E+03,8.45E+03,139290.00,100.00,0.00,0.00,0.18,,,,,,,,,,,,,,,,,,
Harrell,shelf sediment,Paleogene,,,,,,,1.07E+04,,,10700.00,100.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,
Harrell,shelf sediment,Paleogene,,,,,,,1.77E+04,,,17700.00,100.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,
Harrell,shelf sediment,Paleogene,,,,1.93E+04,,,7.63E+05,7.99E+04,8.00E+04,942200.00,97.95,2.05,0.00,0.26,0.00,,,0.00,,,,,,,,,,,,,,
Harrell,shelf sediment,Paleogene,,,,,,,1.43E+05,2.51E+04,1.39E+04,182000.00,100.00,0.00,0.00,0.29,,,,,,,,,,,,,,,,,,
Harrell,shelf sediment,Paleogene,,,,,,,1.18E+05,2.40E+04,6.97E+03,148970.00,100.00,0.00,0.00,0.25,,,,,,,,,,,,,,,,,,
