Depth,age,MAT,MATe,CMMT,CMMTe,WMMT,WMMTe
598.24,54.4302,12.94,-0.68,7.24,0.74,18.16,-1.62
599.74,54.5974,12.27,-0.20,7.00,0.45,17.77,-2.07
601.26,54.7668,14.25,4.40,8.62,3.69,20.37,2.99
602.90,54.9496,12.70,0.29,7.49,1.04,18.49,-1.24
604.44,55.1212,13.75,1.43,8.31,1.83,19.31,0.49
605.90,55.2839,12.70,0.29,7.49,1.04,18.49,-1.24
607.40,55.4511,12.00,-0.47,7.00,0.45,17.42,-1.80
608.90,55.6183,14.52,-1.18,7.24,0.74,21.26,-4.56
608.91,55.6194,14.52,-1.18,7.24,0.74,21.26,-4.56
611.36,55.9252,21.80,4.70,18.08,6.88,26.01,1.79
611.64,55.9728,11.67,-0.91,6.82,0.08,17.43,-2.76
611.80,56,18.80,4.70,10.31,1.99,22.82,1.88
611.84,56.0071,11.50,-0.70,6.50,0.40,17.00,-2.30
611.86,56.0106,11.61,-0.89,7.05,-0.15,17.79,-3.15
611.91,56.0195,12.70,0.29,7.49,1.04,18.16,-0.91
612.40,56.1065,18.00,5.50,8.90,3.40,22.30,2.40
612.71,56.1615,14.18,6.78,7.13,4.09,19.12,3.58
612.85,56.1863,16.53,5.70,8.50,3.27,22.94,0.77
613.41,56.2856,14.25,4.40,8.62,3.69,21.18,2.18
614.91,56.5518,14.05,2.59,8.24,2.98,21.20,0.30
615.77,56.7044,13.34,6.36,6.75,3.93,18.86,2.85
617.37,56.9882,12.80,0.54,6.71,1.27,18.24,-1.54
618.77,57.2232,16.85,6.65,8.75,3.55,22.00,2.70
620.27,57.4632,15.36,3.28,9.34,2.97,21.24,2.12
621.57,57.686,10.88,1.38,6.32,1.66,17.56,-1.16
625.55,58.9757,9.01,3.25,4.97,3.01,15.14,1.26
627.17,59.022,10.67,0.10,6.27,0.63,16.63,-1.96
628.37,59.0563,8.41,2.35,4.52,2.38,14.87,-0.20
629.87,59.0991,8.62,2.10,4.69,2.21,15.09,-0.45
631.37,59.142,8.56,2.97,4.60,2.84,14.90,0.65
632.87,59.1849,8.41,2.35,4.52,2.38,14.87,-0.20
634.17,59.222,11.46,1.53,6.35,2.17,18.01,-0.75
634.98,59.2497,14.64,7.59,7.27,4.50,20.15,3.55
636.43,59.328,8.62,2.10,4.69,2.21,15.09,-0.45
639.47,59.4921,12.09,1.25,6.71,1.27,17.70,-1.00
641.97,59.627,10.88,1.38,6.32,1.66,17.38,-0.98
644.58,59.7679,11.55,0.71,6.71,1.27,17.43,-1.03
647.57,59.9293,8.62,2.10,4.69,2.21,15.09,-0.45
654.18,60.286,14.44,5.29,8.35,3.96,21.03,2.63
655.67,60.3665,8.91,1.86,4.84,2.07,14.87,-0.20
657.38,60.4588,13.34,6.36,6.75,3.93,19.45,2.25
658.67,60.5284,13.94,3.43,8.62,3.14,21.00,1.35
660.18,60.6099,16.17,3.01,8.87,3.43,21.60,2.46
661.68,60.6909,11.45,4.47,6.75,3.93,18.33,2.32
