Source,Site,Kind,location,substrate,type,1302,1300,1298,1296,1292,1292',Ia,Ib,Ic,IIa,IIa',IIb,IIb',IIc,IIc',IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',Iia-tot,Iib-tot,Iic-tot,,iiia-tot,IIIb-tot,IIIc-tot,FR.TETR,FR.PEN,FR.HEX,Br6/5+6,NoRINGStetra,NoRINGSpenta5,NoRINGSpenta6,NoRINGSpenta,IRpenta,IRhexa
"Zell et al., 2014",Amazom_CBM5,core lipid,Amazon,shelf sediment,modern,15.2,2,1.8,1.4,12.6,0.3,78.557,4.509,1.603,,,,,,,,,,,,,12.604,1.6,0.2,,0.7,0.2,0,84.669,14.404,0.9,,0.091,,,0.139,0,0
"Zell et al., 2014",Amazom_CBM6,core lipid,Amazon,shelf sediment,modern,7.9,3.5,4.5,4.1,38.7,1.2,72.937,7.261,2.64,,,,,,,,,,,,,4.657,0.795,0,,0.454,0,0,82.838,5.452,0.454,,0.151,,,0.146,0,0
"Zell et al., 2014",Amazom_CBM7,core lipid,Amazon,shelf sediment,modern,18.7,6.1,6.4,5.1,62.4,1.2,78.695,5.086,1.823,,,,,,,,,,,,,11.729,1.789,0.298,,1.093,0,0,85.605,13.816,1.093,,0.102,,,0.173,0,0
"Zell et al., 2014",Amazom_CBM8,core lipid,Amazon,shelf sediment,modern,11,2.8,3.3,2.9,28.6,0.8,70.156,7.214,2.405,,,,,,,,,,,,,11.374,2.339,0.425,,1.063,0,0,79.774,14.138,1.063,,0.151,,,0.226,0,0
"Zell et al., 2014",AMAZA_26,core lipid,Amazon,shelf sediment,modern,30.1,3.7,3.8,2.9,13,0.5,72.96,7.921,2.382,,,,,,,,,,,,,20.294,3.322,0.539,,1.078,0,0,83.264,24.155,1.078,,0.152,,,0.182,0,0
"Zell et al., 2014",AMAZC_RO11B,core lipid,Amazon,shelf sediment,modern,8.8,1.3,1.5,1.2,7,0.2,75.868,7.571,2.681,,,,,,,,,,,,,7.585,1.159,0.211,,0.316,0,0,86.12,8.955,0.316,,0.15,,,0.176,0,0
"Zell et al., 2014",AMAZC_O3,core lipid,Amazon,shelf sediment,modern,23.6,3,3.5,3.2,10.1,0.4,72.345,7.916,2.405,,,,,,,,,,,,,13.805,2.401,0.3,,0.8,0,0,82.665,16.506,0.8,,0.154,,,0.182,0,0
"Zell et al., 2014",KNR197-4-13WS,core lipid,Amazon,shelf sediment,modern,9.9,3.1,3.3,0.5,18.7,1.3,62.5,6.25,0,,,,,,,,,,,,,0.289,0.144,0,,0.289,0,0,68.75,0.433,0.289,,0.091,,,0.333,0,0
"Zell et al., 2014",KNR197-4-13WS,core lipid,Amazon,shelf sediment,modern,1.3,0.9,2.4,0.9,10.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zell et al., 2014",KNR197-4-20WS,core lipid,Amazon,shelf sediment,modern,4.7,1.8,1.9,0.2,8.9,0.7,86.207,2.586,1.724,,,,,,,,,,,,,0.11,0,0,,0.011,0,0,90.517,0.11,0.011,,0.067,,,0,0,0
